NombreUsuario,Ciudad,FechaHora,Temperatura_C,Condicion_Clima,Humedad_Porcentaje,Viento_kmh
pedro,tandil,2025-06-13 15:26:09,8.74,nubes,90,0.72
pedro,buenos aires,2025-06-12 08:12:33,13.2,lluvia ligera,88,14.5
pedro,córdoba,2025-06-13 09:45:12,11.6,nublado,77,12.3
pedro1,rosario,2025-06-14 16:20:41,15.3,cielo claro,63,9.8
pedro1,mendoza,2025-06-15 10:05:12,9.4,niebla,92,4.2
hola,la plata,2025-06-13 11:03:17,10.5,lluvia moderada,85,11.7
hola,bahía blanca,2025-06-14 17:42:00,7.9,cielo claro,58,13.1
pedro,puerto madryn,2025-06-14 08:46:04,7.14,nubes dispersas,55,15.62
pedro,tucuman,2025-06-14 08:56:19,12,niebla,100,11.12
momo,berazategui,2025-06-14 08:57:58,12.16,lluvia moderada,88,15.66
pedro,tandil,2025-06-14 09:39:18,7.57,nubes,68,11.92
pedro,buenos aires,2025-06-14 09:54:00,11.32,nubes,94,28.98
pedro,buenos aires,2025-06-14 09:54:29,11.32,nubes,94,28.98
pedro,buenos aires,2025-06-14 10:54:42,10.8,llovizna ligera,94,28.98
pedro,tandil,2025-06-14 12:00:08,9.77,nubes,56,15.8
momo,berazategui,2025-06-14 13:45:11,11.1,nubes,91,22.18
momo,buenos aires,2025-06-14 13:46:25,10.73,nubes,94,28.98
petra,lomas,2025-06-14 13:50:02,26.2,nubes,46,10.19
pedro,buenos aires,2025-06-15 14:34:06,12.45,cielo claro,57,32.18
pedro,buenos aires,2025-06-15 15:10:06,12.8,cielo claro,55,32.18
pedro,buenos aires,2025-06-15 16:28:53,13.02,cielo claro,59,32.18
javier,buenos aires,2025-06-15 16:37:45,13.09,cielo claro,59,32.18
javier,cordoba,2025-06-15 16:38:34,20.76,cielo claro,40,29.63
pedro,buenos aires,2025-06-15 17:48:01,12.6,cielo claro,56,32.18
pedro,buenos aires,2025-06-15 17:58:40,12.29,cielo claro,57,32.18
pedro,buenos aires,2025-06-15 17:58:48,12.29,cielo claro,57,32.18
pedro,buenos aires,2025-06-15 18:03:13,12.29,cielo claro,57,32.18
pedro,buenos aires,2025-06-16 09:06:48,8.66,nubes,88,45.07
